Waveno.;Adjusted
0,5;1,24E-05
1,5;8,68E-05
2,5;2,30E-04
3,5;4,35E-04
4,5;6,91E-04
5,5;9,76E-04
6,5;1,26E-03
7,5;1,73E-03
8,5;2,12E-03
9,5;2,57E-03
10,5;2,88E-03
11,5;3,45E-03
12,5;3,35E-03
13,5;4,29E-03
14,5;4,31E-03
15,5;4,86E-03
16,5;5,65E-03
17,5;5,78E-03
18,5;2,83E-03
19,5;6,87E-03
20,5;8,01E-03
21,5;8,95E-03
22,5;1,06E-02
23,5;1,10E-02
24,5;9,43E-03
25,5;8,02E-03
26,5;1,35E-02
27,5;1,39E-02
28,5;1,50E-02
29,5;1,74E-02
30,5;1,58E-02
31,5;1,84E-02
32,5;1,24E-02
33,5;1,52E-02
34,5;1,74E-02
35,5;1,85E-02
36,5;5,67E-03
37,5;1,02E-02
38,5;5,48E-03
39,5;1,55E-02
40,5;7,95E-03
41,5;1,96E-02
42,5;2,82E-02
43,5;3,02E-02
44,5;2,86E-02
45,5;3,37E-02
46,5;2,09E-02
47,5;2,09E-02
48,5;3,50E-02
49,5;4,05E-02
50,5;4,18E-02
51,5;3,91E-02
52,5;3,68E-02
53,5;1,98E-02
54,5;2,62E-02
55,5;2,47E-03
56,5;1,42E-02
57,5;9,34E-03
58,5;2,73E-02
59,5;3,21E-02
60,5;4,20E-02
61,5;4,71E-02
62,5;2,36E-02
63,5;3,43E-02
64,5;3,35E-02
65,5;5,76E-02
66,5;6,30E-02
67,5;4,56E-02
68,5;3,81E-02
69,5;3,93E-02
70,5;6,06E-02
71,5;3,96E-02
72,5;1,60E-02
73,5;1,56E-02
74,5;2,55E-02
75,5;1,92E-02
76,5;6,22E-02
77,5;6,69E-02
78,5;2,98E-02
79,5;1,70E-02
80,5;4,92E-02
81,5;5,10E-02
82,5;3,68E-02
83,5;8,62E-02
84,5;8,85E-02
85,5;7,46E-02
86,5;7,22E-02
87,5;2,29E-02
88,5;1,06E-02
89,5;3,76E-02
90,5;7,69E-02
91,5;4,66E-02
92,5;4,77E-03
93,5;5,20E-02
94,5;8,88E-02
95,5;8,06E-02
96,5;5,38E-02
97,5;9,44E-02
98,5;3,67E-02
99,5;1,97E-02
100,5;7,55E-03
101,5;3,78E-02
102,5;1,05E-01
103,5;9,51E-02
104,5;1,73E-02
105,5;3,11E-02
106,5;8,06E-02
107,5;6,61E-02
108,5;1,30E-01
109,5;1,28E-01
110,5;7,06E-02
111,5;4,46E-02
112,5;1,32E-01
113,5;1,52E-01
114,5;1,56E-01
115,5;1,59E-01
116,5;1,33E-01
117,5;1,13E-01
118,5;1,23E-01
119,5;9,36E-02
120,5;5,14E-02
121,5;3,80E-02
122,5;5,04E-02
123,5;1,15E-01
124,5;1,40E-01
125,5;1,22E-01
126,5;3,50E-02
127,5;4,17E-02
128,5;1,13E-01
129,5;1,66E-01
130,5;1,41E-01
131,5;7,87E-02
132,5;1,23E-02
133,5;6,34E-02
134,5;1,62E-01
135,5;1,72E-01
136,5;1,99E-01
137,5;1,84E-01
138,5;8,48E-02
139,5;2,90E-02
140,5;4,42E-02
141,5;1,17E-01
142,5;2,05E-01
143,5;2,19E-01
144,5;2,13E-01
145,5;2,14E-01
146,5;2,06E-01
147,5;1,58E-01
148,5;6,13E-02
149,5;2,48E-02
150,5;5,47E-03
151,5;4,90E-02
152,5;1,17E-01
153,5;3,88E-02
154,5;1,83E-01
155,5;2,28E-01
156,5;1,62E-01
157,5;7,80E-02
158,5;1,41E-01
159,5;2,50E-01
160,5;2,33E-01
161,5;2,14E-01
162,5;2,71E-01
163,5;2,68E-01
164,5;2,74E-01
165,5;2,44E-01
166,5;9,76E-02
167,5;2,28E-01
168,5;1,92E-01
169,5;1,01E-01
170,5;1,46E-02
171,5;1,52E-01
172,5;2,00E-01
173,5;5,92E-02
174,5;2,40E-01
175,5;1,93E-01
176,5;1,33E-01
177,5;4,45E-02
178,5;1,93E-01
179,5;2,64E-01
180,5;2,78E-01
181,5;1,47E-01
182,5;3,08E-01
183,5;2,18E-01
184,5;3,16E-01
185,5;3,30E-01
186,5;3,01E-01
187,5;2,06E-01
188,5;1,06E-01
189,5;3,06E-01
190,5;3,46E-01
191,5;3,57E-01
192,5;3,47E-01
193,5;2,24E-01
194,5;2,20E-01
195,5;2,76E-01
196,5;3,46E-01
197,5;2,54E-01
198,5;3,42E-01
199,5;3,26E-01
200,5;2,23E-01
201,5;1,60E-01
202,5;1,18E-02
203,5;9,64E-02
204,5;2,67E-01
205,5;3,31E-01
206,5;3,27E-01
207,5;1,94E-01
208,5;3,22E-02
209,5;2,44E-01
210,5;2,90E-01
211,5;3,63E-01
212,5;2,82E-01
213,5;2,49E-01
214,5;1,85E-01
215,5;3,12E-01
216,5;4,12E-01
217,5;4,36E-01
218,5;4,36E-01
219,5;4,20E-01
220,5;3,56E-01
221,5;8,47E-02
222,5;2,75E-01
223,5;2,10E-01
224,5;3,57E-01
225,5;2,58E-01
226,5;8,49E-02
227,5;5,82E-02
228,5;1,70E-01
229,5;3,76E-01
230,5;3,84E-01
231,5;3,99E-01
232,5;4,45E-01
233,5;3,96E-01
234,5;5,11E-01
235,5;5,10E-01
236,5;5,25E-01
237,5;5,26E-01
238,5;5,32E-01
239,5;5,34E-01
240,5;5,34E-01
241,5;5,32E-01
242,5;5,05E-01
243,5;4,84E-01
244,5;2,86E-01
245,5;6,42E-02
246,5;3,27E-01
247,5;1,60E-01
248,5;1,92E-01
249,5;4,05E-01
250,5;4,77E-01
251,5;4,23E-01
252,5;3,88E-01
253,5;1,31E-01
254,5;1,72E-01
255,5;4,25E-01
256,5;4,40E-01
257,5;5,28E-01
258,5;5,74E-01
259,5;5,92E-01
260,5;6,14E-01
261,5;6,24E-01
262,5;6,18E-01
263,5;5,49E-01
264,5;6,13E-01
265,5;5,04E-01
266,5;3,09E-01
267,5;5,69E-01
268,5;6,43E-01
269,5;6,55E-01
270,5;6,56E-01
271,5;6,13E-01
272,5;6,33E-01
273,5;6,11E-01
274,5;6,06E-01
275,5;4,31E-01
276,5;2,99E-01
277,5;3,48E-01
278,5;9,94E-02
279,5;4,36E-01
280,5;2,79E-01
281,5;3,07E-01
282,5;2,01E-01
283,5;5,16E-01
284,5;6,08E-01
285,5;6,07E-01
286,5;6,54E-01
287,5;6,40E-01
288,5;5,56E-01
289,5;2,01E-01
290,5;4,73E-01
291,5;6,77E-01
292,5;7,37E-01
293,5;7,64E-01
294,5;7,78E-01
295,5;7,15E-01
296,5;7,80E-01
297,5;7,59E-01
298,5;5,79E-01
299,5;6,79E-01
300,5;6,50E-01
301,5;4,04E-01
302,5;2,92E-01
303,5;2,89E-01
304,5;5,88E-01
305,5;6,90E-01
306,5;7,10E-01
307,5;7,80E-01
308,5;7,89E-01
309,5;6,76E-01
310,5;8,34E-01
311,5;8,06E-01
312,5;8,48E-01
313,5;8,06E-01
314,5;5,31E-01
315,5;5,64E-01
316,5;8,30E-01
317,5;8,69E-01
318,5;8,76E-01
319,5;8,60E-01
320,5;7,96E-01
321,5;7,49E-01
322,5;6,77E-01
323,5;2,32E-01
324,5;5,23E-01
325,5;6,79E-01
326,5;7,03E-01
327,5;3,41E-01
328,5;5,36E-01
329,5;7,93E-01
330,5;8,51E-01
331,5;8,73E-01
332,5;8,78E-01
333,5;8,27E-01
334,5;5,00E-01
335,5;3,88E-01
336,5;8,18E-01
337,5;8,99E-01
338,5;9,28E-01
339,5;8,74E-01
340,5;5,53E-01
341,5;8,19E-01
342,5;8,83E-01
343,5;7,12E-01
344,5;9,57E-01
345,5;8,00E-01
346,5;9,29E-01
347,5;9,36E-01
348,5;8,38E-01
349,5;5,42E-01
350,5;7,49E-01
351,5;5,25E-01
352,5;6,87E-01
353,5;7,39E-01
354,5;4,04E-01
355,5;8,28E-01
356,5;7,71E-01
357,5;4,70E-01
358,5;7,18E-01
359,5;9,89E-01
360,5;1,08E+00
361,5;1,09E+00
362,5;1,06E+00
363,5;1,19E+00
364,5;1,23E+00
365,5;1,24E+00
366,5;1,23E+00
367,5;1,16E+00
368,5;1,10E+00
369,5;7,26E-01
370,5;7,77E-01
371,5;1,08E+00
372,5;1,09E+00
373,5;9,92E-01
374,5;6,78E-01
375,5;7,90E-01
376,5;7,63E-01
377,5;1,12E+00
378,5;1,04E+00
379,5;1,24E+00
380,5;1,19E+00
381,5;1,24E+00
382,5;1,22E+00
383,5;9,59E-01
384,5;7,34E-01
385,5;6,61E-01
386,5;1,11E+00
387,5;1,25E+00
388,5;1,30E+00
389,5;1,28E+00
390,5;1,32E+00
391,5;1,29E+00
392,5;1,25E+00
393,5;1,10E+00
394,5;8,26E-01
395,5;1,03E+00
396,5;6,66E-01
397,5;5,86E-01
398,5;9,03E-01
399,5;9,90E-01
400,5;9,27E-01
401,5;1,35E+00
402,5;1,46E+00
403,5;1,53E+00
404,5;1,57E+00
405,5;1,42E+00
406,5;1,59E+00
407,5;1,59E+00
408,5;1,59E+00
409,5;1,56E+00
410,5;1,56E+00
411,5;1,53E+00
412,5;1,50E+00
413,5;1,45E+00
414,5;1,31E+00
415,5;1,30E+00
416,5;1,20E+00
417,5;9,57E-01
418,5;6,51E-01
419,5;6,37E-01
420,5;9,54E-01
421,5;1,27E+00
422,5;1,20E+00
423,5;1,21E+00
424,5;1,47E+00
425,5;1,21E+00
426,5;1,20E+00
427,5;1,63E+00
428,5;1,60E+00
429,5;1,65E+00
430,5;1,41E+00
431,5;1,12E+00
432,5;1,66E+00
433,5;1,74E+00
434,5;1,51E+00
435,5;1,65E+00
436,5;1,40E+00
437,5;1,72E+00
438,5;1,74E+00
439,5;1,69E+00
440,5;1,56E+00
441,5;1,01E+00
442,5;1,04E+00
443,5;1,26E+00
444,5;1,59E+00
445,5;1,69E+00
446,5;1,33E+00
447,5;1,53E+00
448,5;1,75E+00
449,5;1,70E+00
450,5;1,65E+00
451,5;1,53E+00
452,5;1,25E+00
453,5;1,41E+00
454,5;1,56E+00
455,5;1,46E+00
456,5;1,11E+00
457,5;7,61E-01
458,5;1,09E+00
459,5;1,50E+00
460,5;1,64E+00
461,5;1,51E+00
462,5;1,84E+00
463,5;1,81E+00
464,5;1,96E+00
465,5;1,89E+00
466,5;1,75E+00
467,5;1,60E+00
468,5;1,56E+00
469,5;1,76E+00
470,5;1,60E+00
471,5;1,40E+00
472,5;6,94E-01
473,5;1,31E+00
474,5;1,69E+00
475,5;1,83E+00
476,5;1,72E+00
477,5;1,96E+00
478,5;1,98E+00
479,5;2,01E+00
480,5;1,84E+00
481,5;1,81E+00
482,5;1,79E+00
483,5;1,25E+00
484,5;1,28E+00
485,5;1,77E+00
486,5;1,79E+00
487,5;2,06E+00
488,5;2,12E+00
489,5;2,04E+00
490,5;2,06E+00
491,5;1,60E+00
492,5;1,50E+00
493,5;2,05E+00
494,5;2,04E+00
495,5;2,23E+00
496,5;2,24E+00
497,5;2,23E+00
498,5;2,18E+00
499,5;2,04E+00
500,5;1,90E+00
501,5;1,60E+00
502,5;1,19E+00
503,5;1,80E+00
504,5;1,76E+00
505,5;1,85E+00
506,5;1,24E+00
507,5;1,41E+00
508,5;1,93E+00
509,5;2,06E+00
510,5;1,70E+00
511,5;1,89E+00
512,5;2,08E+00
513,5;2,16E+00
514,5;1,92E+00
515,5;1,86E+00
516,5;1,35E+00
517,5;1,27E+00
518,5;1,71E+00
519,5;1,33E+00
520,5;1,83E+00
521,5;2,17E+00
522,5;2,23E+00
523,5;2,17E+00
524,5;1,97E+00
525,5;1,42E+00
526,5;1,52E+00
527,5;2,07E+00
528,5;2,19E+00
529,5;2,36E+00
530,5;2,44E+00
531,5;2,46E+00
532,5;2,41E+00
533,5;2,39E+00
534,5;2,29E+00
535,5;2,10E+00
536,5;1,53E+00
537,5;2,32E+00
538,5;2,44E+00
539,5;2,38E+00
540,5;2,17E+00
541,5;1,92E+00
542,5;2,38E+00
543,5;2,34E+00
544,5;1,89E+00
545,5;1,36E+00
546,5;1,48E+00
547,5;1,77E+00
548,5;2,15E+00
549,5;2,01E+00
550,5;1,92E+00
551,5;2,45E+00
552,5;2,31E+00
553,5;2,43E+00
554,5;1,67E+00
555,5;2,33E+00
556,5;2,48E+00
557,5;2,22E+00
558,5;2,52E+00
559,5;2,51E+00
560,5;2,50E+00
561,5;2,53E+00
562,5;2,22E+00
563,5;1,67E+00
564,5;2,31E+00
565,5;2,33E+00
566,5;1,92E+00
567,5;1,39E+00
568,5;1,83E+00
569,5;1,37E+00
570,5;2,12E+00
571,5;1,94E+00
572,5;2,29E+00
573,5;2,32E+00
574,5;2,14E+00
575,5;1,78E+00
576,5;1,47E+00
577,5;1,99E+00
578,5;2,20E+00
579,5;1,88E+00
580,5;1,32E+00
581,5;1,64E+00
582,5;1,81E+00
583,5;2,21E+00
584,5;1,44E+00
585,5;1,74E+00
586,5;2,11E+00
587,5;1,74E+00
588,5;1,55E+00
589,5;1,01E+00
590,5;1,37E+00
591,5;1,10E+00
592,5;1,30E+00
593,5;1,33E+00
594,5;1,48E+00
595,5;1,19E+00
596,5;9,65E-01
597,5;1,18E+00
598,5;1,17E+00
599,5;1,37E+00
600,5;1,36E+00
601,5;1,10E+00
602,5;1,58E+00
603,5;1,22E+00
604,5;9,65E-01
605,5;1,56E+00
606,5;1,07E+00
607,5;9,83E-01
608,5;1,38E+00
609,5;9,88E-01
610,5;1,17E+00
611,5;1,17E+00
612,5;9,03E-01
613,5;1,18E+00
614,5;8,85E-01
615,5;8,25E-01
616,5;3,46E-01
617,5;1,71E-02
618,5;5,91E-01
619,5;8,77E-01
620,5;1,02E+00
621,5;1,21E+00
622,5;6,23E-01
623,5;9,77E-01
624,5;8,31E-01
625,5;3,74E-01
626,5;6,43E-01
627,5;5,60E-01
628,5;4,19E-01
629,5;4,35E-01
630,5;3,25E-01
631,5;4,01E-01
632,5;2,44E-01
633,5;2,08E-01
634,5;2,94E-01
635,5;1,67E-01
636,5;1,38E-01
637,5;1,93E-01
638,5;1,28E-01
639,5;1,05E-01
640,5;1,61E-01
641,5;1,01E-01
642,5;6,86E-02
643,5;8,71E-02
644,5;4,34E-02
645,5;7,28E-02
646,5;8,51E-02
647,5;1,61E-02
648,5;2,18E-02
649,5;8,57E-03
650,5;6,85E-03
651,5;2,94E-02
652,5;2,18E-02
653,5;4,76E-03
654,5;2,07E-02
655,5;1,32E-02
656,5;5,74E-03
657,5;1,59E-02
658,5;1,22E-02
659,5;6,84E-03
660,5;1,83E-02
661,5;8,78E-03
662,5;8,95E-03
663,5;6,95E-03
664,5;2,23E-03
665,5;2,31E-03
666,5;6,72E-04
667,5;4,13E-05
668,5;-8,26E-05
669,5;3,10E-04
670,5;8,85E-02
671,5;4,81E-03
672,5;7,70E-03
673,5;1,21E-02
674,5;1,31E-03
675,5;1,31E-02
676,5;1,09E-02
677,5;3,25E-03
678,5;1,50E-02
679,5;9,40E-03
680,5;7,55E-03
681,5;1,79E-02
682,5;4,48E-03
683,5;1,75E-02
684,5;2,03E-02
685,5;6,54E-03
686,5;3,41E-02
687,5;2,02E-02
688,5;2,76E-02
689,5;5,18E-02
690,5;1,63E-02
691,5;7,10E-02
692,5;7,43E-02
693,5;3,85E-02
694,5;1,38E-01
695,5;8,09E-02
696,5;1,06E-01
697,5;1,95E-01
698,5;8,84E-02
699,5;2,70E-01
700,5;2,04E-01
701,5;2,00E-01
702,5;3,36E-01
703,5;2,73E-01
704,5;3,36E-01
705,5;3,71E-01
706,5;4,81E-01
707,5;5,58E-01
708,5;4,43E-01
709,5;5,38E-01
710,5;6,46E-01
711,5;7,02E-01
712,5;8,12E-01
713,5;5,34E-01
714,5;1,02E+00
715,5;9,23E-01
716,5;7,71E-01
717,5;1,08E+00
718,5;4,07E-01
719,5;1,54E-01
720,5;1,59E-02
721,5;6,05E-01
722,5;1,14E+00
723,5;1,14E+00
724,5;1,56E+00
725,5;1,07E+00
726,5;1,43E+00
727,5;1,32E+00
728,5;9,10E-01
729,5;1,21E+00
730,5;8,83E-01
731,5;9,44E-01
732,5;1,55E+00
733,5;1,04E+00
734,5;1,12E+00
735,5;1,64E+00
736,5;1,03E+00
737,5;1,17E+00
738,5;1,68E+00
739,5;1,10E+00
740,5;1,03E+00
741,5;7,79E-01
742,5;1,25E+00
743,5;1,50E+00
744,5;1,66E+00
745,5;1,52E+00
746,5;1,77E+00
747,5;2,24E+00
748,5;1,61E+00
749,5;1,93E+00
750,5;2,44E+00
751,5;1,87E+00
752,5;1,92E+00
753,5;2,32E+00
754,5;1,70E+00
755,5;2,28E+00
756,5;2,69E+00
757,5;2,29E+00
758,5;2,68E+00
759,5;2,99E+00
760,5;2,57E+00
761,5;2,75E+00
762,5;3,18E+00
763,5;2,84E+00
764,5;2,93E+00
765,5;3,25E+00
766,5;2,97E+00
767,5;2,94E+00
768,5;2,88E+00
769,5;2,85E+00
770,5;2,87E+00
771,5;3,11E+00
772,5;3,18E+00
773,5;3,27E+00
774,5;3,14E+00
775,5;2,60E+00
776,5;2,81E+00
777,5;2,80E+00
778,5;3,14E+00
779,5;2,85E+00
780,5;3,23E+00
781,5;3,30E+00
782,5;3,23E+00
783,5;3,09E+00
784,5;2,22E+00
785,5;3,11E+00
786,5;3,27E+00
787,5;3,32E+00
788,5;3,32E+00
789,5;3,32E+00
790,5;3,30E+00
791,5;2,32E+00
792,5;2,76E+00
793,5;2,77E+00
794,5;3,04E+00
795,5;2,40E+00
796,5;2,73E+00
797,5;2,80E+00
798,5;2,02E+00
799,5;2,91E+00
800,5;3,21E+00
801,5;3,21E+00
802,5;3,10E+00
803,5;2,50E+00
804,5;3,19E+00
805,5;3,31E+00
806,5;3,16E+00
807,5;3,19E+00
808,5;2,77E+00
809,5;3,26E+00
810,5;3,31E+00
811,5;3,37E+00
812,5;3,29E+00
813,5;2,99E+00
814,5;2,83E+00
815,5;3,28E+00
816,5;3,37E+00
817,5;3,35E+00
818,5;3,35E+00
819,5;3,40E+00
820,5;3,36E+00
821,5;3,37E+00
822,5;3,38E+00
823,5;3,37E+00
824,5;3,33E+00
825,5;3,07E+00
826,5;3,34E+00
827,5;2,80E+00
828,5;3,28E+00
829,5;3,37E+00
830,5;3,38E+00
831,5;3,38E+00
832,5;3,38E+00
833,5;3,38E+00
834,5;3,38E+00
835,5;3,26E+00
836,5;3,37E+00
837,5;3,37E+00
838,5;3,35E+00
839,5;2,99E+00
840,5;3,09E+00
841,5;3,20E+00
842,5;3,32E+00
843,5;3,36E+00
844,5;3,36E+00
845,5;3,35E+00
846,5;3,35E+00
847,5;3,35E+00
848,5;3,32E+00
849,5;2,78E+00
850,5;3,28E+00
851,5;3,25E+00
852,5;2,35E+00
853,5;3,06E+00
854,5;2,72E+00
855,5;3,27E+00
856,5;3,32E+00
857,5;3,32E+00
858,5;3,25E+00
859,5;3,28E+00
860,5;3,32E+00
861,5;3,32E+00
862,5;3,32E+00
863,5;3,31E+00
864,5;3,18E+00
865,5;2,95E+00
866,5;3,29E+00
867,5;3,30E+00
868,5;3,30E+00
869,5;3,29E+00
870,5;3,23E+00
871,5;2,79E+00
872,5;3,27E+00
873,5;3,29E+00
874,5;3,28E+00
875,5;3,27E+00
876,5;3,27E+00
877,5;3,26E+00
878,5;2,88E+00
879,5;3,25E+00
880,5;3,23E+00
881,5;3,13E+00
882,5;3,24E+00
883,5;2,90E+00
884,5;3,19E+00
885,5;3,24E+00
886,5;3,16E+00
887,5;2,71E+00
888,5;3,03E+00
889,5;3,21E+00
890,5;3,14E+00
891,5;3,11E+00
892,5;3,22E+00
893,5;3,22E+00
894,5;3,22E+00
895,5;3,21E+00
896,5;3,19E+00
897,5;3,15E+00
898,5;3,20E+00
899,5;3,20E+00
900,5;3,20E+00
901,5;3,20E+00
902,5;3,18E+00
903,5;3,19E+00
904,5;3,18E+00
905,5;3,15E+00
906,5;3,00E+00
907,5;3,15E+00
908,5;2,78E+00
909,5;2,92E+00
910,5;3,08E+00
911,5;3,15E+00
912,5;3,15E+00
913,5;3,09E+00
914,5;3,09E+00
915,5;3,14E+00
916,5;3,13E+00
917,5;3,13E+00
918,5;3,00E+00
919,5;3,12E+00
920,5;3,10E+00
921,5;2,96E+00
922,5;2,77E+00
923,5;3,10E+00
924,5;2,91E+00
925,5;2,89E+00
926,5;3,09E+00
927,5;3,08E+00
928,5;3,04E+00
929,5;3,05E+00
930,5;3,07E+00
931,5;3,05E+00
932,5;3,03E+00
933,5;3,06E+00
934,5;3,01E+00
935,5;3,06E+00
936,5;2,98E+00
937,5;3,05E+00
938,5;2,95E+00
939,5;3,06E+00
940,5;2,90E+00
941,5;2,99E+00
942,5;2,91E+00
943,5;3,04E+00
944,5;2,82E+00
945,5;2,94E+00
946,5;2,93E+00
947,5;2,83E+00
948,5;2,55E+00
949,5;2,85E+00
950,5;3,01E+00
951,5;2,87E+00
952,5;2,88E+00
953,5;2,82E+00
954,5;2,84E+00
955,5;2,73E+00
956,5;2,90E+00
957,5;2,92E+00
958,5;2,99E+00
959,5;2,84E+00
960,5;2,97E+00
961,5;2,94E+00
962,5;2,98E+00
963,5;2,92E+00
964,5;2,88E+00
965,5;2,91E+00
966,5;2,75E+00
967,5;2,81E+00
968,5;2,93E+00
969,5;2,80E+00
970,5;2,75E+00
971,5;2,61E+00
972,5;2,87E+00
973,5;2,56E+00
974,5;2,69E+00
975,5;2,66E+00
976,5;2,76E+00
977,5;2,62E+00
978,5;2,75E+00
979,5;2,77E+00
980,5;2,78E+00
981,5;2,79E+00
982,5;2,77E+00
983,5;2,76E+00
984,5;2,71E+00
985,5;2,77E+00
986,5;2,75E+00
987,5;2,73E+00
988,5;2,73E+00
989,5;2,71E+00
990,5;2,67E+00
991,5;2,66E+00
992,5;2,66E+00
993,5;2,65E+00
994,5;2,58E+00
995,5;2,56E+00
996,5;2,57E+00
997,5;2,50E+00
998,5;2,36E+00
999,5;2,38E+00
1000,5;2,27E+00
1001,5;2,37E+00
1002,5;2,29E+00
1003,5;2,18E+00
1004,5;2,13E+00
1005,5;2,18E+00
1006,5;2,14E+00
1007,5;1,99E+00
1008,5;2,04E+00
1009,5;1,88E+00
1010,5;1,69E+00
1011,5;1,83E+00
1012,5;1,84E+00
1013,5;1,74E+00
1014,5;1,44E+00
1015,5;1,64E+00
1016,5;1,59E+00
1017,5;1,45E+00
1018,5;1,48E+00
1019,5;1,51E+00
1020,5;1,40E+00
1021,5;1,42E+00
1022,5;1,38E+00
1023,5;1,39E+00
1024,5;1,30E+00
1025,5;1,32E+00
1026,5;1,29E+00
1027,5;1,27E+00
1028,5;1,13E+00
1029,5;1,13E+00
1030,5;1,23E+00
1031,5;1,23E+00
1032,5;1,18E+00
1033,5;1,25E+00
1034,5;1,22E+00
1035,5;1,24E+00
1036,5;1,18E+00
1037,5;1,19E+00
1038,5;1,17E+00
1039,5;1,05E+00
1040,5;1,10E+00
1041,5;1,14E+00
1042,5;1,67E+00
